male,r_white,r_black,r_hispanic,r_asian,r_native,have_child,income_above_4k,college_edu,ht_single_fam,ht_mobile,ht_condo,coast_dist,elevation,issued_mandatory,issued_voluntary,evac
0,1,0,0,0,0,1.0,1.0,0,1,0,0,4.13195767574,46.7,1,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,3.3529568719,85.6,1,0,1
0,1,0,0,0,0,0.0,0.0,0,1,0,0,7.58731363716,68.9,0,0,1
1,1,0,0,0,0,0.0,1.0,1,1,0,0,8.72362351965,72.9,0,0,0
1,0,0,0,0,0,0.0,0.0,0,0,1,0,2.23265529546,23.4,1,0,0
0,0,1,0,0,0,0.0,1.0,0,1,0,0,3.74721457445,13.1,1,0,1
1,0,0,0,0,0,0.0,1.0,1,0,0,1,1.83978271224,9.9,1,0,1
1,1,0,0,0,0,0.0,0.0,1,1,0,0,1.51103382265,6.2,1,0,1
0,1,0,0,0,0,0.0,0.0,0,1,0,0,1.79373645765,41.7,0,0,0
0,1,0,0,0,0,1.0,0.0,0,0,0,1,1.81600143607,23.5,1,0,1
0,0,0,0,0,0,0.0,0.0,1,1,0,0,14.1659611662,99.2,0,0,1
1,1,0,0,0,0,1.0,1.0,1,1,0,0,1.79373645765,41.7,0,0,1
1,1,0,0,0,0,0.0,1.0,1,0,0,1,3.90288486353,4.9,1,0,1
1,0,1,0,0,0,0.0,0.0,0,1,0,0,2.23265529546,23.4,1,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,3.3529568719,85.6,1,0,1
0,0,0,0,0,0,0.0,0.0,0,1,0,0,12.844711351,90.4,0,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,3.90288486353,4.9,1,0,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,4.13195767574,46.7,1,0,0
0,1,0,0,0,0,0.0,1.0,1,1,0,0,3.16945733451,17.4,1,0,1
1,1,0,0,0,0,0.0,1.0,1,1,0,0,2.9705226778,14.5,1,0,1
0,1,0,0,0,0,1.0,0.0,0,0,1,0,8.72362351965,72.9,0,0,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,1.79373645765,41.7,0,0,0
0,1,0,0,0,0,0.0,0.0,0,0,0,0,4.13195767574,46.7,1,0,1
1,1,0,0,0,0,0.0,0.0,0,1,0,0,2.71279763697,20.2,1,0,1
1,1,0,0,0,0,1.0,0.0,0,0,1,0,4.4577712924,2.2,1,0,1
1,1,0,0,0,0,0.0,0.0,0,0,0,0,1.79373645765,41.7,0,0,1
0,1,0,0,0,0,0.0,0.0,1,1,0,0,1.33727045426,14.1,1,0,1
1,1,0,0,0,0,1.0,0.0,1,1,0,0,1.79373645765,41.7,0,0,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,12.844711351,90.4,0,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,1.83978271224,9.9,1,0,0
0,1,0,0,0,0,1.0,1.0,0,1,0,0,2.71279763697,20.2,1,0,0
1,1,0,0,0,0,1.0,1.0,1,1,0,0,3.3529568719,85.6,1,0,1
1,1,0,0,0,0,0.0,0.0,0,1,0,0,3.16945733451,17.4,1,0,0
1,1,0,0,0,0,1.0,1.0,0,1,0,0,4.13195767574,46.7,1,0,1
1,1,0,0,0,0,0.0,1.0,0,1,0,0,1.03787706021,5.7,1,0,1
0,1,0,0,0,0,0.0,0.0,0,1,0,0,12.844711351,90.4,0,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,3.74721457445,13.1,1,0,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,3.74721457445,13.1,1,0,0
0,1,0,0,0,0,1.0,0.0,0,1,0,0,3.3529568719,85.6,1,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,1.81600143607,23.5,1,0,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,12.0846237559,33.7,0,0,0
0,1,0,0,0,0,1.0,1.0,1,1,0,0,2.71279763697,20.2,1,0,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,3.90288486353,4.9,1,0,0
1,1,0,0,0,0,0.0,0.0,1,1,0,0,0.635460586647,25.4,1,0,1
1,1,0,0,0,0,0.0,1.0,1,1,0,0,1.33727045426,14.1,1,0,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,14.1659611662,99.2,0,0,0
0,1,0,0,0,0,1.0,0.0,0,1,0,0,4.43968787527,7.6,1,0,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,3.90288486353,4.9,1,0,0
1,1,0,0,0,0,0.0,0.0,1,1,0,0,2.71279763697,20.2,1,0,1
0,1,0,0,0,0,1.0,0.0,1,1,0,0,3.74721457445,13.1,1,0,0
0,1,0,0,0,0,0.0,1.0,1,1,0,0,3.74721457445,13.1,1,0,1
1,1,0,0,0,0,1.0,1.0,0,1,0,0,1.51103382265,6.2,1,0,1
0,1,0,0,0,0,1.0,1.0,1,1,0,0,4.4577712924,2.2,1,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,1.03787706021,5.7,1,0,1
1,1,0,0,0,0,0.0,0.0,0,1,0,0,4.13195767574,46.7,1,0,0
1,1,0,0,0,0,0.0,0.0,0,1,0,0,1.79373645765,41.7,0,0,1
1,1,0,0,0,0,0.0,1.0,1,1,0,0,3.74721457445,13.1,1,0,0
0,1,0,0,0,0,0.0,1.0,1,1,0,0,3.74721457445,13.1,1,0,0
1,1,0,0,0,0,0.0,1.0,1,0,0,0,2.71279763697,20.2,1,0,0
0,0,0,0,0,0,1.0,0.0,0,1,0,0,2.23265529546,23.4,1,0,0
0,1,0,0,0,0,1.0,1.0,0,1,0,0,12.844711351,90.4,0,0,0
0,1,0,0,0,0,1.0,1.0,0,1,0,0,7.58731363716,68.9,0,0,0
1,0,1,0,0,0,1.0,1.0,0,1,0,0,0.635460586647,25.4,1,0,1
1,1,0,0,0,0,0.0,1.0,1,1,0,0,3.74721457445,13.1,1,0,1
0,1,0,0,0,0,1.0,1.0,1,1,0,0,3.16945733451,17.4,1,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,1.79373645765,41.7,0,0,1
0,1,0,0,0,0,0.0,0.0,1,0,1,0,3.90288486353,4.9,1,0,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,2.71279763697,20.2,1,0,1
1,1,0,0,0,0,0.0,0.0,1,1,0,0,3.74721457445,13.1,1,0,1
1,1,0,0,0,0,0.0,0.0,0,1,0,0,3.3529568719,85.6,1,0,1
1,0,1,0,0,0,1.0,1.0,1,1,0,0,3.90288486353,4.9,1,0,1
1,1,0,0,0,0,1.0,1.0,0,1,0,0,12.0846237559,33.7,0,0,0
1,0,1,0,0,0,1.0,0.0,1,1,0,0,8.72362351965,72.9,0,0,0
0,0,1,0,0,0,0.0,1.0,0,1,0,0,4.4577712924,2.2,1,0,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,12.844711351,90.4,0,0,0
0,1,0,0,0,0,0.0,1.0,1,1,0,0,1.33727045426,14.1,1,0,1
1,1,0,0,0,0,1.0,1.0,1,1,0,0,3.74721457445,13.1,1,0,1
0,1,0,0,0,0,1.0,1.0,0,1,0,0,7.58731363716,68.9,0,0,1
1,1,0,0,0,0,1.0,0.0,1,1,0,0,3.90288486353,4.9,1,0,0
1,1,0,0,0,0,1.0,1.0,0,1,0,0,12.0846237559,33.7,0,0,1
1,1,0,0,0,0,1.0,1.0,1,1,0,0,1.79373645765,41.7,0,0,1
1,1,0,0,0,0,1.0,1.0,1,1,0,0,3.90288486353,4.9,1,0,1
1,1,0,0,0,0,1.0,0.0,0,0,0,0,14.1659611662,99.2,0,0,1
0,1,0,0,0,0,0.0,0.0,0,0,0,0,3.74721457445,13.1,1,0,1
1,1,0,0,0,0,0.0,0.0,0,1,0,0,3.90288486353,4.9,1,0,0
0,0,0,0,0,1,0.0,1.0,0,1,0,0,8.72362351965,72.9,0,0,0
1,1,0,0,0,0,1.0,0.0,0,0,0,1,3.90288486353,4.9,1,0,1
0,1,0,0,0,0,1.0,1.0,0,1,0,0,12.0846237559,33.7,0,0,1
0,1,0,0,0,0,1.0,1.0,0,0,1,0,1.79373645765,41.7,0,0,0
0,1,0,0,0,0,1.0,0.0,0,1,0,0,3.74721457445,13.1,1,0,0
0,1,0,0,0,0,0.0,0.0,0,0,0,0,2.9705226778,14.5,1,0,1
0,1,0,0,0,0,1.0,1.0,1,1,0,0,1.03787706021,5.7,1,0,1
0,1,0,0,0,0,0.0,0.0,0,1,0,0,3.16945733451,17.4,1,0,1
1,1,0,0,0,0,1.0,1.0,1,1,0,0,1.79373645765,41.7,0,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,3.90288486353,4.9,1,0,0
0,1,0,0,0,0,1.0,1.0,0,1,0,0,4.13195767574,46.7,1,0,1
1,0,1,0,0,0,0.0,1.0,1,1,0,0,4.13195767574,46.7,1,0,0
1,1,0,0,0,0,0.0,0.0,1,1,0,0,0.635460586647,25.4,1,0,1
1,1,0,0,0,0,1.0,1.0,1,1,0,0,3.90288486353,4.9,1,0,1
1,1,0,0,0,0,0.0,0.0,0,1,0,0,4.43968787527,7.6,1,0,1
1,1,0,0,0,0,1.0,0.0,0,0,1,0,8.72362351965,72.9,0,0,1
0,1,0,0,0,0,0.0,0.0,0,1,0,0,12.0846237559,33.7,0,0,0
1,1,0,0,0,0,0.0,1.0,0,1,0,0,4.13195767574,46.7,1,0,0
0,1,0,0,0,0,0.0,1.0,1,1,0,0,3.90288486353,4.9,1,0,0
1,1,0,0,0,0,0.0,1.0,0,1,0,0,3.74721457445,13.1,1,0,0
0,0,1,0,0,0,1.0,0.0,0,1,0,0,1.33727045426,14.1,1,0,1
0,0,0,0,0,1,0.0,1.0,1,1,0,0,2.71279763697,20.2,1,0,1
1,1,0,0,0,0,0.0,1.0,1,1,0,0,4.13195767574,46.7,1,0,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,1.33727045426,14.1,1,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,1.33727045426,14.1,1,0,1
0,1,0,0,0,0,1.0,1.0,0,1,0,0,12.0846237559,33.7,0,0,0
0,1,0,0,0,0,1.0,1.0,0,1,0,0,2.71279763697,20.2,1,0,1
1,1,0,0,0,0,1.0,0.0,0,0,1,0,7.58731363716,68.9,0,0,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,3.90288486353,4.9,1,0,1
0,1,0,0,0,0,0.0,0.0,0,1,0,0,3.74721457445,13.1,1,0,1
1,1,0,0,0,0,0.0,0.0,0,1,0,0,7.58731363716,68.9,0,0,0
0,1,0,0,0,0,0.0,1.0,0,1,0,0,1.33727045426,14.1,1,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,4.13195767574,46.7,1,0,1
1,1,0,0,0,0,1.0,1.0,0,1,0,0,4.43968787527,7.6,1,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,3.74721457445,13.1,1,0,1
0,1,0,0,0,0,0.0,0.0,0,1,0,0,2.9705226778,14.5,1,0,1
1,1,0,0,0,0,1.0,1.0,0,1,0,0,1.83978271224,9.9,1,0,0
0,1,0,0,0,0,0.0,0.0,1,1,0,0,3.90288486353,4.9,1,0,0
0,0,1,0,0,0,1.0,0.0,1,1,0,0,2.9705226778,14.5,1,0,1
1,1,0,0,0,0,0.0,1.0,1,1,0,0,4.13195767574,46.7,1,0,1
0,1,0,0,0,0,1.0,1.0,1,1,0,0,3.16945733451,17.4,1,0,0
1,0,0,0,0,1,0.0,0.0,0,1,0,0,14.1659611662,99.2,0,0,1
1,1,0,0,0,0,0.0,1.0,1,1,0,0,3.74721457445,13.1,1,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,2.9705226778,14.5,1,0,0
0,1,0,0,0,0,1.0,0.0,0,1,0,0,3.90288486353,4.9,1,0,1
1,1,0,0,0,0,0.0,0.0,1,1,0,0,1.79373645765,41.7,0,0,0
0,1,0,0,0,0,1.0,1.0,1,1,0,0,1.51103382265,6.2,1,0,0
1,1,0,0,0,0,0.0,0.0,0,1,0,0,2.23265529546,23.4,1,0,0
0,1,0,0,0,0,0.0,1.0,1,1,0,0,2.71279763697,20.2,1,0,1
0,1,0,0,0,0,1.0,1.0,0,1,0,0,1.83978271224,9.9,1,0,0
0,1,0,0,0,0,1.0,1.0,1,1,0,0,12.844711351,90.4,0,0,1
1,0,1,0,0,0,0.0,1.0,0,1,0,0,4.4577712924,2.2,1,0,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,1.79373645765,41.7,0,0,1
1,1,0,0,0,0,0.0,1.0,0,1,0,0,3.16945733451,17.4,1,0,0
1,1,0,0,0,0,0.0,1.0,0,1,0,0,3.90288486353,4.9,1,0,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,2.71279763697,20.2,1,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,8.72362351965,72.9,0,0,1
1,1,0,0,0,0,0.0,0.0,1,1,0,0,2.9705226778,14.5,1,0,1
0,0,1,0,0,0,0.0,0.0,0,1,0,0,4.4577712924,2.2,1,0,1
0,1,0,0,0,0,1.0,1.0,0,0,1,0,12.0846237559,33.7,0,0,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,1.79373645765,41.7,0,0,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,2.9705226778,14.5,1,0,1
1,1,0,0,0,0,1.0,1.0,1,1,0,0,3.16945733451,17.4,1,0,1
1,1,0,0,0,0,0.0,1.0,1,1,0,0,3.90288486353,4.9,1,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,2.71279763697,20.2,1,0,1
0,1,0,0,0,0,1.0,1.0,1,1,0,0,8.72362351965,72.9,0,0,0
0,1,0,0,0,0,1.0,0.0,0,1,0,0,4.4577712924,2.2,1,0,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,4.13195767574,46.7,1,0,1
1,1,0,0,0,0,0.0,1.0,1,1,0,0,1.79373645765,41.7,0,0,0
1,1,0,0,0,0,0.0,0.0,0,1,0,0,1.51103382265,6.2,1,0,0
0,1,0,0,0,0,1.0,1.0,0,1,0,0,3.90288486353,4.9,1,0,0
1,1,0,0,0,0,0.0,0.0,0,1,0,0,3.3529568719,85.6,1,0,0
0,0,0,0,0,0,0.0,0.0,0,1,0,0,2.71279763697,20.2,1,0,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,3.90288486353,4.9,1,0,0
0,1,0,0,0,0,1.0,1.0,0,1,0,0,8.72362351965,72.9,0,0,1
0,1,0,0,0,0,1.0,0.0,1,1,0,0,3.16945733451,17.4,1,0,0
1,1,0,0,0,0,0.0,1.0,0,1,0,0,12.0846237559,33.7,0,0,1
1,0,0,0,0,0,0.0,1.0,1,0,0,1,2.71279763697,20.2,1,0,0
0,1,0,0,0,0,0.0,0.0,0,0,1,0,3.16945733451,17.4,1,0,0
0,1,0,0,0,0,0.0,1.0,0,1,0,0,14.1659611662,99.2,0,0,0
0,1,0,0,0,0,0.0,1.0,1,1,0,0,2.9705226778,14.5,1,0,0
1,1,0,0,0,0,0.0,0.0,1,1,0,0,12.844711351,90.4,0,0,0
1,1,0,0,0,0,1.0,0.0,0,1,0,0,1.03787706021,5.7,1,0,0
1,1,0,0,0,0,0.0,1.0,0,1,0,0,3.74721457445,13.1,1,0,0
1,1,0,0,0,0,1.0,1.0,1,1,0,0,7.58731363716,68.9,0,0,1
0,1,0,0,0,0,1.0,1.0,0,1,0,0,12.0846237559,33.7,0,0,0
0,0,0,0,1,0,0.0,0.0,0,0,0,1,1.83978271224,9.9,1,0,1
1,1,0,0,0,0,0.0,0.0,1,1,0,0,3.16945733451,17.4,1,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,14.1659611662,99.2,0,0,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,1.81600143607,23.5,1,0,1
0,1,0,0,0,0,0.0,0.0,0,1,0,0,3.74721457445,13.1,1,0,1
1,0,1,0,0,0,1.0,0.0,1,1,0,0,3.74721457445,13.1,1,0,1
0,1,0,0,0,0,0.0,0.0,0,1,0,0,3.16945733451,17.4,1,0,1
1,1,0,0,0,0,1.0,1.0,0,1,0,0,1.51103382265,6.2,1,0,1
0,0,1,0,0,0,0.0,1.0,1,1,0,0,2.23265529546,23.4,1,0,1
1,1,0,0,0,0,0.0,1.0,0,1,0,0,8.72362351965,72.9,0,0,0
1,1,0,0,0,0,1.0,1.0,1,1,0,0,2.71279763697,20.2,1,0,0
0,1,0,0,0,0,0.0,1.0,1,1,0,0,3.3529568719,85.6,1,0,1
1,0,1,0,0,0,1.0,1.0,0,1,0,0,4.4577712924,2.2,1,0,0
0,0,0,0,0,0,0.0,1.0,0,1,0,0,3.74721457445,13.1,1,0,1
1,1,0,0,0,0,1.0,0.0,0,1,0,0,14.1659611662,99.2,0,0,1
1,1,0,0,0,0,0.0,0.0,0,1,0,0,2.23265529546,23.4,1,0,0
0,1,0,0,0,0,1.0,1.0,0,1,0,0,2.71279763697,20.2,1,0,0
0,1,0,0,0,0,1.0,1.0,1,1,0,0,3.90288486353,4.9,1,0,0
0,1,0,0,0,0,0.0,1.0,0,0,0,1,3.74721457445,13.1,1,0,1
1,1,0,0,0,0,0.0,1.0,1,0,0,0,12.844711351,90.4,0,0,1
0,1,0,0,0,0,1.0,1.0,0,1,0,0,3.74721457445,13.1,1,0,0
0,1,0,0,0,0,1.0,0.0,0,0,1,0,3.74721457445,13.1,1,0,1
0,1,0,0,0,0,0.0,0.0,0,0,0,0,3.74721457445,13.1,1,0,1
0,1,0,0,0,0,0.0,0.0,1,0,1,0,14.1659611662,99.2,0,0,1
0,1,0,0,0,0,0.0,0.0,1,1,0,0,4.13195767574,46.7,1,0,1
1,0,1,0,0,0,1.0,0.0,0,1,0,0,12.0846237559,33.7,0,0,0
0,1,0,0,0,0,0.0,0.0,0,0,0,1,1.51103382265,6.2,1,0,1
1,0,0,0,0,0,0.0,1.0,1,1,0,0,4.43968787527,7.6,1,0,0
1,0,0,0,0,0,0.0,1.0,1,1,0,0,4.13195767574,46.7,1,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,3.3529568719,85.6,1,0,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,3.74721457445,13.1,1,0,1
1,1,0,0,0,0,0.0,0.0,1,1,0,0,4.13195767574,46.7,1,0,1
0,0,0,0,1,0,1.0,1.0,1,0,1,0,7.58731363716,68.9,0,0,1
1,1,0,0,0,0,0.0,0.0,1,1,0,0,3.3529568719,85.6,1,0,0
0,1,0,0,0,0,1.0,1.0,0,1,0,0,1.79373645765,41.7,0,0,1
1,1,0,0,0,0,0.0,1.0,1,1,0,0,1.79373645765,41.7,0,0,0
0,1,0,0,0,0,1.0,1.0,1,1,0,0,3.74721457445,13.1,1,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,3.16945733451,17.4,1,0,1
0,1,0,0,0,0,1.0,0.0,0,1,0,0,8.72362351965,72.9,0,0,1
1,1,0,0,0,0,0.0,1.0,1,1,0,0,1.51103382265,6.2,1,0,1
1,1,0,0,0,0,1.0,1.0,1,1,0,0,1.81600143607,23.5,1,0,0
1,1,0,0,0,0,0.0,0.0,1,1,0,0,3.16945733451,17.4,1,0,1
0,1,0,0,0,0,0.0,0.0,0,0,0,1,3.3529568719,85.6,1,0,0
1,1,0,0,0,0,0.0,0.0,1,1,0,0,3.3529568719,85.6,1,0,1
0,1,0,0,0,0,0.0,1.0,0,1,0,0,3.16945733451,17.4,1,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,1.79373645765,41.7,0,0,1
0,1,0,0,0,0,1.0,1.0,1,1,0,0,3.74721457445,13.1,1,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,3.16945733451,17.4,1,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,1.79373645765,41.7,0,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,1.33727045426,14.1,1,0,0
1,1,0,0,0,0,0.0,1.0,1,1,0,0,3.74721457445,13.1,1,0,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,1.51103382265,6.2,1,0,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,14.1659611662,99.2,0,0,1
1,1,0,0,0,0,1.0,1.0,0,1,0,0,12.0846237559,33.7,0,0,0
0,1,0,0,0,0,0.0,1.0,0,1,0,0,3.74721457445,13.1,1,0,0
0,1,0,0,0,0,1.0,1.0,1,1,0,0,4.13195767574,46.7,1,0,1
1,1,0,0,0,0,0.0,0.0,1,1,0,0,3.3529568719,85.6,1,0,1
1,1,0,0,0,0,0.0,1.0,1,1,0,0,2.71279763697,20.2,1,0,1
1,1,0,0,0,0,0.0,1.0,1,1,0,0,3.90288486353,4.9,1,0,1
0,1,0,0,0,0,0.0,1.0,1,1,0,0,1.79373645765,41.7,0,0,1
0,1,0,0,0,0,0.0,0.0,0,0,0,1,3.74721457445,13.1,1,0,0
0,1,0,0,0,0,0.0,0.0,0,1,0,0,1.03787706021,5.7,1,0,1
1,0,0,0,1,0,1.0,0.0,0,1,0,0,12.0846237559,33.7,0,0,1
1,1,0,0,0,0,1.0,0.0,0,1,0,0,3.90288486353,4.9,1,0,1
0,1,0,0,0,0,0.0,0.0,0,0,1,0,2.9705226778,14.5,1,0,1
0,1,0,0,0,0,1.0,0.0,0,0,0,0,3.74721457445,13.1,1,0,0
1,0,1,0,0,0,1.0,0.0,0,1,0,0,8.72362351965,72.9,0,0,0
